"","01T6","02T6","06T6","08T6","15T6","16T6","21T6","25T6","28T6","29T6","35T6","43T6","48T6","51T6","55T6","59T6","60T6","61T6","63T6","67T6","75T6","76T6"
"dbB|NP_001003900.1",20.295173473376,18.3605638427627,18.6273049004217,19.0046754591985,18.5125405004006,20.113925244587,21.1384935192575,15.4100515774255,21.0585166622411,16.0317937019674,19.961342566019,18.0995166062688,18.2136334945647,16.6803675521549,20.5915937562613,20.3224128293193,21.7101241130056,17.1873715363392,20.726565093863,16.8829915204591,16.2933146091623,19.5126090345465
"dbB|NP_001004024.1",16.4188934574784,17.0593680273185,15.463796442247,16.4201383924782,17.3478454860739,16.4985216711847,15.3828375781537,15.8629968221074,13.3676067619083,16.0939232857887,15.7977266169929,15.1972872871499,15.725149740227,13.7897114991255,15.5185891224497,15.5255118446326,14.8828974766009,16.4214639586658,14.9823882733874,16.6543465091626,16.3864491639359,15.6097723576459
"dbB|NP_001008663.1",19.5348333628121,18.1102117891427,17.9901371989291,18.7704323661002,19.4102677247247,18.1917897861151,14.6318472770785,18.6041217472224,16.368406969521,18.3073518706035,17.4776558758792,15.752209984628,17.3197619821264,17.709179766198,18.2306197636408,18.4840326370138,14.5298763281289,18.4966115969579,17.6011568064502,17.3577346093745,18.8265463439166,18.2518049855073
"dbB|NP_001010991.1",16.7410071799287,17.3207072174503,15.7860951161049,14.35982304281,17.6120251078752,16.2145280452319,16.983586851682,17.5568889415439,16.3990703186721,16.1887956300752,16.7693500858282,16.2129330560594,15.668436206039,16.2819897461676,16.6414287441175,17.025580525465,16.5571074143753,16.3413968624388,14.9748942138991,15.7150229351629,16.4895987918358,13.6918623394221
"dbB|NP_001012287.1",15.052417234208,16.1663253112858,14.9272811382319,14.5078014778424,15.7996676762422,14.9943061613785,15.3022829443088,16.1575240022144,15.6424645338449,15.4574530786936,16.5881721877536,15.1446691385047,14.8882232176571,15.2301727862388,13.8533641873907,16.0203456398967,15.3987087517987,15.5184840735088,16.6706134528001,14.787307274733,16.4255295302968,14.8248583418567
"dbB|NP_001012688.1",15.4762989111271,16.2700264031032,15.8769474815574,15.7507718676145,16.2635060994766,15.5579107076721,14.9590766077814,14.6649876870496,14.9281821111262,15.5272334478846,16.3492527381003,15.0845112637034,15.4364682202501,15.6656712552619,14.182641261378,16.2517725388267,14.9336139298199,16.1128303067084,15.9427989831868,15.2859717352987,15.1699251239606,15.4024442128682
"dbB|NP_001012700.1",14.3603369863717,15.38923861719,15.0136579777163,14.5627053205263,14.5733628366526,14.3755986680028,14.7848266418868,14.7772642280225,14.551376284414,14.561269761456,14.5494777188834,14.7442342000999,14.9463576922826,14.5737615621124,14.7626473697134,14.914155055658,14.7088187232888,15.1868809374222,14.4777124555953,14.7742343012786,14.360978956212,14.4353853037814
"dbB|NP_001013607.1",14.9168486240866,15.6603324366188,15.5785153418254,15.8672326350344,15.5037647387085,15.0115277961846,14.6865274797527,15.6629562098553,14.7470703427973,15.8425938801197,15.7479054962182,14.8762340631913,15.7848607912021,15.2938542120628,15.5416969014178,15.521906679248,14.7810891492162,14.9506190851406,15.8793950770711,15.684715238067,15.8049037324144,15.3480077507216
"dbB|NP_001014411.1",12.6844850364809,12.5963230328208,12.7417824194289,13.3939768142881,12.6052374979199,13.6790167057925,14.9898460354861,13.7064023930467,14.943798016952,13.6615951064914,13.2603086975152,14.845011301303,13.4175420684367,13.6461729339275,13.8038287035262,13.0231084914591,14.7727922349332,13.0988154349232,13.7461943045597,12.8574598119932,12.7438315424704,13.6008637307187
"dbB|NP_001014413.1",14.8445596707513,14.6664483612466,14.6945203098275,15.0194495819878,15.5944845176365,14.8720318980839,14.9421655952255,14.5509227904108,15.3015300657896,13.9414021561036,14.8924214382007,14.7987808566109,14.6354264203805,14.6427241230166,14.6060085624353,14.8999421612243,14.8366401086514,14.8634568590485,14.6957318269026,14.3045652058576,14.3944329299982,13.7871143794132
"dbB|NP_001014894.1",15.4603132082639,14.4531424223904,14.5353696166413,14.9600211885213,15.5079166598278,15.3783257030395,15.0727933387283,14.3792767599786,14.5258995050661,14.6755686939264,14.8480228489376,15.2177755610661,14.446444659025,15.2776230515319,14.6625199340696,14.657355815768,15.1688816221988,15.6183396513814,14.7228515408828,14.5910314667541,14.6938905328196,15.2132572054899
"dbB|NP_001014928.1",14.7434909159805,15.7256696916785,15.0213905818392,15.0503312185215,14.3622303252375,14.7161876937677,14.9344094764935,14.6567782109972,15.7369060502567,15.5212745423465,15.0026462537099,15.358156266211,15.6089399262713,14.7899481940681,14.7711713427018,14.9789873483005,15.8649532263181,14.7206654288868,15.2651805234084,15.712148878881,15.404837724671,15.011706432502
"dbB|NP_001015512.1",17.4212034827893,15.5300996341936,18.0151339617717,18.0550470691368,16.2502725716943,17.3204284671865,17.0110313022254,18.5263541082673,17.014608027778,18.1314244728169,18.2133442608008,16.8372369243669,17.8024313609859,18.067574548549,17.6456295226462,18.692046194757,17.2766187877909,17.4704230608142,18.1955452006574,17.602982615565,18.102480383657,18.2387240083512
"dbB|NP_001015531.1",15.6225169724406,16.0158989883895,15.7457144202194,15.8528830285952,17.1753284640588,15.6224873206278,15.0557215457741,16.3884158796756,15.0567580467754,16.6057340492744,16.4919117437811,15.1751734540118,15.3035506194058,15.6972593753507,15.612451860467,15.6144187497858,15.0967790919401,15.2750269552379,16.1076615741964,15.2084258685329,15.6776931979508,12.8188881934628
"dbB|NP_001015561.1",14.9560091726296,15.1306968982938,15.200159239975,15.2596926695501,14.7510163421109,14.9739386684747,15.1584789038034,15.2562209150181,15.2856378646541,15.1020856515118,15.703088225522,15.0219050622998,15.0289743026834,14.8221004472309,15.0816128756402,14.7401015857727,15.1628798447071,14.9810786269149,14.7211156983213,15.1436536368946,15.3059218166668,15.0870562196558
"dbB|NP_001015571.1",17.6113220511447,17.55163225925,17.0774773866006,16.7478712522797,18.4900698256012,16.8692081177113,16.6313291312836,17.341970349469,17.6404512891359,17.570037597785,17.6326578065408,16.9872195804912,16.3807626440295,16.2797909869514,17.6382881698338,17.977242606565,17.2068973290624,16.7077845405429,17.4617629133062,16.7697952637043,17.0487831748985,16.0479575564132
