"","01T6","02T6","06T6","08T6","15T6","16T6","21T6","25T6","28T6","29T6","35T6","43T6","48T6","51T6","55T6","59T6","60T6","61T6","63T6","67T6","75T6","76T6"
"dbA|AABICPOP_00222",15.1902547093092,15.5740764403762,15.9780838775475,15.5125782397713,15.0320695127369,14.5425446716138,15.040550061613,13.8117947781695,15.2775040369423,14.882802893884,15.2889495185187,15.0298845953687,15.2804390977875,15.3006732851778,14.7706328893146,16.258844115154,14.5052672940252,16.9613702882241,14.9110852804801,15.3065034160333,15.4394002020038,15.1796443682052
"dbA|AABICPOP_00259",14.1855123268694,14.6809965925771,14.1843024375385,14.1177959796371,13.9984930147541,13.8144219517007,14.4976084067192,13.5483238407426,14.3915306935013,14.1679355112383,13.9465597802503,15.1214989405945,14.4817384673773,13.9756173488736,14.1621069615423,14.519605691556,14.2908524810239,15.4409606489849,13.7520106846028,14.6735762520436,13.8122954427111,14.040052422939
"dbA|AABICPOP_00270",15.002979968853,14.9580564216088,15.1361084984667,15.3838637116854,15.0520513402667,14.816122615634,14.7698763300233,15.156574908295,14.836598781051,15.0490208654874,15.2154229387103,14.7904751046608,14.9293078946398,14.7535661119333,15.6943900141502,15.1749303719026,14.7688636404329,13.9876764264106,14.4037598263845,14.6977397579127,15.0667076225701,14.7085131525133
"dbA|AABICPOP_00300",14.0298029152095,14.2860344905372,15.6082823133652,15.0709879000929,16.4758566205505,14.6993934494584,14.6119081482731,15.9764201927231,14.6939127833287,15.5856261278554,15.5357601356842,14.5749001915013,14.6722580997007,15.8309502589352,15.8725041589142,16.3554705871752,14.6629662725709,16.4223776723526,16.0148520567617,15.3885494044235,14.592677260068,14.4679298800426
"dbA|AABICPOP_00395",17.7162595953874,16.8682781705616,17.4353207109543,16.6722271941712,18.5209670722094,18.2915543329191,17.7257107475331,18.1145506924125,17.6787721288101,17.9498058659723,17.5573297155663,17.3727652209495,17.1756082428011,16.7635296634654,17.9092709945907,17.8998729155649,17.8582070224583,18.0758697810938,17.6121065178898,17.6638690824537,17.7274254801985,17.4642207720661
"dbA|AABICPOP_00400",14.9777080928806,15.0667116643908,15.1331206421043,15.4656406576539,15.6176567500318,14.9547983510259,14.6807967352425,14.8481817293672,14.6120559026939,15.7328689342443,15.5886941396865,14.7324784464359,14.9650026440956,15.1879647799948,15.4334795155222,15.8787454615441,14.7311801301435,15.5787852835114,15.7929437807874,14.6852958718328,14.9431188521138,14.9388179179927
"dbA|AABICPOP_00460",14.7611888054886,14.5023078967735,14.6369709289463,14.9115685946621,14.6744187896675,14.8294864007022,14.920545151332,14.70194118708,15.3234000581773,14.5283120441178,14.7531769204838,14.9046795976512,14.7394364495689,14.728578964301,14.4569489528786,14.3401154164451,15.1885753736763,14.5983164656327,14.6745246801976,14.8032406392177,15.1446360616196,15.0869793448572
"dbA|AABICPOP_00512",14.5789500288119,13.3850181379387,14.7731150115765,14.8360756415168,14.646850349922,14.5450894521278,14.7134802268809,13.8644352114718,14.3555559571856,14.3691375029238,14.6899755546596,14.8976395111057,14.512141773224,14.5807644255594,14.7553657052909,14.5094997093791,14.517599012352,15.7658207001103,14.611211152118,14.4696479362108,14.4626492705715,14.5107795357439
"dbA|AABICPOP_00535",14.6308916962381,14.9805592556886,14.9436983053313,14.8643995047158,15.4119989624849,14.5726898715066,14.8086216543481,14.5640087026721,14.7731241147899,14.618755679641,14.8293220579362,14.7396012360367,14.7977708929767,14.555936804995,15.0497130511571,15.0712102598788,14.7381004222195,14.6721699935524,14.597709060467,14.4761123681694,14.4792685511309,14.2805040393399
"dbA|AABICPOP_00547",14.5032570184832,14.5208494932457,14.5292040726161,14.4069803692347,15.8083210570582,14.4000109476086,14.5609194339796,14.5130565892577,14.4251834855788,14.0676400454427,13.7075920820801,14.8064512124532,14.5553557183464,14.4617245725768,14.4232962245121,15.273257604509,14.4939572120706,15.6584516753171,14.707609209208,14.1774672286439,14.4811476649312,14.1816598886152
