"","01T6","02T6","06T6","08T6","15T6","16T6","21T6","25T6","28T6","29T6","35T6","42T6","43T6","45T6","48T6","51T6","55T6","59T6","60T6","61T6","63T6","67T6","75T6","76T6"
"dbB|NP_001001164.1",17.5223144986059,17.6279484327175,17.4757421728445,17.9605037064976,17.9675956349081,18.7711077511155,18.6604120993353,18.8208624075737,19.1326690127316,18.3185251378415,18.6692262873939,18.5337028037986,18.8203857132426,19.2188278421095,18.6976570653125,19.3682974628671,17.7626749663932,17.9803634232323,17.7935698448193,18.7478329894316,18.9651088603189,19.0164912897079,18.2107479988405,19.5402962828254
"dbB|NP_001001168.1",16.6807726534911,15.4872391077046,14.4532732189754,15.3107685286589,17.4932468610026,16.2806068064205,14.9804203180096,15.0934789841664,14.3528775400787,14.9384273913688,15.4682371772101,14.2413363122478,14.8352847846389,14.9417114384501,15.5565058801237,14.9385822574825,16.424173546459,15.5472186007616,16.9567672912179,15.0349923402992,15.3534194451793,15.299985979901,16.8990373412793,14.9758631911152
"dbB|NP_001001175.1",17.0847899722742,17.2932271273287,18.1394172409974,17.5266971340814,15.739158689313,16.7459481642758,17.3466867014854,16.6517240977419,17.6778139680292,18.147983207459,17.8588767980629,18.4970506187124,17.4084546177027,18.5286755011777,16.5468662423179,19.3344199626785,15.52625626578,17.8000330433017,16.2594948799808,17.7203167854486,18.0763836181876,16.9934137492058,16.7531261007307,18.0177922464925
"dbB|NP_001001439.1",18.2846880821111,17.6112827839945,18.5492398074237,18.5835820644876,18.9671111640379,18.3594787631462,18.673676120383,18.290121457303,16.9867614665922,18.2930574131123,18.0021975816268,18.1317881842791,18.0307239325495,15.5251486492771,18.8215059620827,15.4045611904924,18.8529111324353,18.409108712408,18.639529618701,17.3188565624916,18.6697611869079,17.6313903832893,17.8219436583064,16.56316562268
"dbB|NP_001001440.2",20.7592115548766,18.7502538295576,21.4499454312586,21.0238729589829,22.3382108789391,17.8973505918061,19.0676835739523,19.8437055673422,19.3378789661877,18.6446268172269,20.0291166901365,18.6241102658164,19.6976829292794,18.4460787073812,18.6221644590777,17.9941771495766,19.5096440921105,19.3079026180511,22.0361811509569,21.0754003452825,18.7376739474965,18.8236336322159,22.012553941631,19.3062505249589
"dbB|NP_001001554.2",17.5488718921906,18.6599817827867,13.806795314754,17.2748875807211,17.8518699447441,18.2919665367914,19.6681808465965,14.5197021280894,13.3991160046898,16.0123015348425,17.0421694234957,15.6135109225957,17.1442575559404,17.4223212683332,14.3789373599769,17.000775165136,17.3241219097751,13.4349008648589,17.5020138639378,14.1358584593802,18.2051240128945,18.8401676621023,18.0090197121154,17.9008853401301
"dbB|NP_001001597.1",19.532715442969,20.0508399188094,19.0128285363163,16.9180255911233,20.0664975623514,19.6375968415158,20.2233109940576,19.6153616205765,17.5330011699093,19.2918805736199,18.1907266699276,18.9209803585849,18.0662897183128,19.4006899640689,19.7778873701729,15.8803723764984,20.7369591415064,20.6884118374017,19.8872598238786,19.9398971610211,19.732469758463,19.5622022031476,19.8014328009908,18.1433861624493
"dbB|NP_001002763.1",13.0098675078649,15.2541217965608,15.7567106882173,13.177056172834,16.969026541092,15.5986952121603,14.9760894190021,15.5771588145554,14.7769173472885,14.2749408666923,13.0048347141042,13.0107152435673,14.9819007636954,15.3361887423931,14.247369292149,15.6059364564492,15.872498642379,13.4648942369923,16.5727243674834,15.3524836042877,15.5243338906287,15.5295692915271,16.6874700354727,15.5229201216309
"dbB|NP_001002885.1",15.7768028412285,15.7018690586406,15.6872119609937,15.5194275480839,15.3813583837301,15.245954958224,15.5722974833776,15.442334854721,16.6338056076101,16.1265025739458,16.9599686511848,16.293652183672,16.3956474549094,16.4641167154507,15.1993394153274,17.271764899311,16.3793494173588,16.3465130092372,15.6287992904111,15.9936131896076,17.1748351232534,16.4540338752211,16.2449198908476,16.5922731718586
"dbB|NP_001002891.1",17.4174383440806,16.5590288822603,18.4929866098498,18.8115220381561,18.727496605582,17.9903769592412,18.2964751408637,16.9256964595896,16.8191933999755,17.5703653690219,17.5946696676819,17.6739743402825,17.6781611523395,14.7561704829967,18.5881201666189,16.7406804923619,18.0656102535849,17.9544004830995,18.4992851209781,17.3071497655131,18.2885653280835,17.6785470602161,18.6682998494614,15.9309644599477
"dbB|NP_001003657.1",16.740651760792,16.795782017594,15.0019008029351,15.4609734872468,12.3659638063003,15.2130415354417,15.4071794169043,15.4048549789773,15.6632667450924,15.3188480784353,14.5670125907404,15.5532858146937,14.6184704796383,15.5738335312988,14.6442265725506,15.9070633481862,13.641589462539,15.2674719428689,15.4520494719491,15.5920084383372,14.3118997660439,14.746111880534,13.8505502741229,15.5856221903548
"dbB|NP_001003658.1",19.0264226476512,17.0571945956311,16.1118709809193,15.9479979329638,18.5396458947688,17.7621493750808,16.5224072073889,15.8515305783268,17.519626745133,15.2437884137863,16.4680276045849,15.9891226222671,14.0703761633486,15.5693427298276,17.372848113439,15.6727925745205,17.5804696926122,17.267032005123,18.3116772190574,17.9884666650403,16.2912185443886,15.1015913262771,18.8528253403734,16.160982834877
"dbB|NP_001003903.1",17.4748601197653,18.3844345818363,17.990071144047,18.1948982429758,16.6164478838366,17.2229910552019,18.284052317281,18.0351254250258,16.6943983592586,19.013638367797,17.8941968298826,19.1179679815666,18.8417254074715,19.1904696572161,17.9859560656685,17.7174498575199,17.4505240203844,17.8493639074808,16.9833166493639,17.3480993688623,17.0601289512017,17.072062266275,15.3699920708024,17.3888397097443
"dbB|NP_001003906.1",22.8068898242071,23.1445044147804,22.5188976446926,22.725912840008,23.1942614257372,23.4464984044266,23.5370929765116,23.3894253892024,23.2651884552966,23.4874219441685,23.5097060407694,22.852826404482,23.7673790965633,23.8241502400315,23.8495490533004,23.7592627256492,22.9099655768584,23.2280359696697,22.388264791753,23.0872428385192,23.9077365117779,23.8286664179996,22.9184376204885,23.3011327618501
