"","02T6","06T6","08T6","15T6","16T6","21T6","25T6","29T6","35T6","42T6","43T6","45T6","48T6","51T6","55T6","59T6","60T6","61T6","63T6","67T6","75T6","76T6"
"dbA|AABICPOP_00395",15.5121945450952,16.4319019482961,16.2803107325565,15.7381865649405,15.8496402523061,14.9180793718964,16.57504814315,16.1247755463131,14.6974270508136,14.7741135379359,14.7559443778298,15.3823601484653,14.5455176038118,14.7765795686238,15.1661122718021,15.739771706699,14.7388349937532,15.3236744803438,15.7112903803896,15.4866794774193,14.8096273733572,15.1012008389671
"dbA|AABICPOP_02256",14.4161534572907,13.9302821429393,15.1450257964482,14.7778169383269,14.901036022417,14.3810750371057,14.7344552388752,15.0734728210649,14.555752075787,15.3586875699734,14.680056761645,15.9724875974811,14.7830177217629,15.4401741252811,16.0604705704143,14.9531129590818,14.9600927718576,14.952873121892,14.2721285717392,15.6769010814753,15.2144475598196,15.8075283501745
"dbA|ACDIHDME_01028",14.6473522891218,14.1439263563597,15.2587044866363,14.7164364664933,15.0160677028556,14.2253862004326,14.9152052716402,14.6796646038296,15.0893623141117,15.3929059549421,14.9691564233357,15.9746205382009,15.3138119316343,15.4652091315194,14.6645977436989,14.7727578190881,15.1174222149783,14.9469280790615,14.1665972218693,15.5977590895062,15.0636446396078,15.7172810788085
"dbA|ACDIHDME_01640",15.3377565654544,14.298994837925,15.8995907937415,15.0158122181887,15.6543421229543,14.8440797027255,15.4655756267245,15.7772702413041,14.4131868115622,14.8764100250059,14.7048345536198,14.7177383205785,15.1028157430753,14.6834989339895,15.2108510290865,14.7794953471564,14.7456927644883,13.9964088543708,15.4824462764634,14.8619667848751,14.406831085528,15.2597173764113
"dbA|ACDIHDME_01808",15.6239009618031,14.5181111077777,15.1852370625026,15.0114024354403,15.4903800026378,15.1406511910238,14.4852197729483,15.1984260798559,15.9412276986107,16.2636802799588,15.8153751169728,15.9828187049049,14.9472436877124,15.3757270043241,16.6019024097553,15.6855635351194,16.801915546189,15.7989468404478,15.1007454508917,15.8617703070104,16.4087931839286,16.5097352959964
"dbA|ACDIHDME_02015",15.0357720042647,14.1029861039814,15.8862848568308,14.2936512999697,15.6099106334035,14.7940917765958,14.7182161364428,15.8459052873052,14.4043050333713,14.7485381245354,14.4181870674037,14.9150334205218,15.4591899405066,14.9149677463053,15.3072787740306,15.4074754994015,14.2772385905082,14.5914565161816,14.7741376341672,14.7247719889161,14.1873240841068,15.2479381636095
"dbA|ACDIHDME_02159",15.2177340328061,14.9381873120999,14.8975760217862,15.1910235454609,15.2018191855015,14.7755308837192,16.0625391943582,15.2657001780107,15.3747053814079,15.6880716635374,15.3874885696786,16.1574926855686,15.4526957833519,15.8912851753234,15.6035410236205,15.2650575519837,15.4421742561634,16.0170936059345,15.9123204354623,16.2756289395462,15.6084892490631,15.8599398583788
"dbA|ACDIHDME_02331",15.3633056399882,13.3732771512014,15.8969223375246,15.2343877733831,15.726673874019,14.2250451999675,13.7963450766093,15.2906116862031,14.964479241673,15.1691507473396,15.1921866903561,15.7071223065732,15.6798144447744,14.9846471322942,13.3814367278324,13.5405261530644,14.9652921300285,15.2629194390621,13.7550349710778,14.8919961799147,13.7580329967834,15.2502456670534
"dbA|ACDIHDME_02523",15.0138968962888,13.1733332647695,15.521030525425,15.2289798891736,15.371777744998,14.7977039718962,15.4933343275398,15.1956720819091,14.7810733143338,15.0585135168581,14.8614014088051,15.1646263375938,14.6286694613172,14.8916054070926,15.1125645972881,14.9459456343419,14.8506235896817,14.8863983545503,14.8363730974659,15.3057346191239,14.9255600179301,15.4740818707017
"dbA|ACNIDAFJ_00106",15.1866821217671,14.6817737265797,15.7348455757618,14.8270162528484,15.5249908601357,14.0171306526749,14.8175996395316,14.844659676026,14.4439060533511,14.9396452007159,14.547129591819,15.5170094237158,15.0108839582329,14.7309635651636,14.8338331282169,14.6522749194247,14.6455437788184,14.3065727581178,14.5623386158137,14.9549400884798,14.3961170813822,15.4217475708987
