SampleID	libType	extID	libID	sampleName	ID	sampleNumber	sampleType	samplePool	samplingTime	sampleDiet	samplingTank	New_Diet
MQ211210-143	abV4-C	EXT-CP925-137	LIB-CP925-137-A-1	T3-ctr-tk2-HGm03	T3_ctr_tk2_03	3	sample	high	T3	CTR	tk2	CTR
MQ211210-79	abV4-C	EXT-CP925-75	LIB-CP925-75-A-1	T2-ctr-tk2-HGm03	T2_ctr_tk2_03	3	sample	low	T2	CTR	tk2	CTR
MQ211210-166	abV4-C	EXT-CP925-151	LIB-CP925-151-A-1	T1-ctr-tk1-HGm05	T1_ctr_tk1_05	5	sample	low	T1	CTR	tk1	CTR
MQ211210-118	abV4-C	EXT-CP925-114	LIB-CP925-114-A-1	T0-ctr-tk1-HGm01	T0_ctr_tk1_01	1	sample	low	T0	CTR	tk1	CTR
MQ211210-150	abV4-C	EXT-CP925-144	LIB-CP925-144-A-1	T3-ctr-tk2-HGm01	T3_ctr_tk2_01	1	sample	high	T3	CTR	tk2	CTR
MQ211210-59	abV4-C	EXT-CP925-55	LIB-CP925-55-A-1	T0-ctr-tk3-HGm09	T0_ctr_tk3_09	9	sample	high	T0	CTR	tk3	CTR
MQ211210-56	abV4-C	EXT-CP925-52	LIB-CP925-52-A-1	T2-ctr-tk2-HGm01	T2_ctr_tk2_01	1	sample	low	T2	CTR	tk2	CTR
MQ211210-149	abV4-C	EXT-CP925-143	LIB-CP925-143-A-1	T2-ctr-tk2-HGm05	T2_ctr_tk2_05	5	sample	high	T2	CTR	tk2	CTR
MQ211210-97	abV4-C	EXT-CP925-93	LIB-CP925-93-A-1	T3-ctr-tk2-HGm05	T3_ctr_tk2_05	5	sample	high	T3	CTR	tk2	CTR
MQ211210-37	abV4-C	EXT-CP925-35	LIB-CP925-35-A-1	T0-ctr-tk3-HGm10	T0_ctr_tk3_10	10	sample	low	T0	CTR	tk3	CTR
MQ211210-90	abV4-C	EXT-CP925-86	LIB-CP925-86-A-1	T0-ctr-tk3-HGm08	T0_ctr_tk3_08	8	sample	low	T0	CTR	tk3	CTR
MQ211210-35	abV4-C	EXT-CP925-33	LIB-CP925-33-A-1	T0-ctr-tk2-HGm09	T0_ctr_tk2_09	9	sample	low	T0	CTR	tk2	CTR
MQ211210-10	abV4-C	EXT-CP925-10	LIB-CP925-10-A-1	T0-ctr-tk3-HGm01	T0_ctr_tk3_01	1	sample	low	T0	CTR	tk3	CTR
MQ211210-124	abV4-C	EXT-CP925-118	LIB-CP925-118-A-1	T3-ctr-tk2-HGm07	T3_ctr_tk2_07	7	sample	high	T3	CTR	tk2	CTR
MQ211210-108	abV4-C	EXT-CP925-104	LIB-CP925-104-A-1	T2-ctr-tk2-HGm07	T2_ctr_tk2_07	7	sample	low	T2	CTR	tk2	CTR
MQ211210-20	abV4-C	EXT-CP925-20	LIB-CP925-20-A-1	T3-ctr-tk1-HGm01	T3_ctr_tk1_01	1	sample	high	T3	CTR	tk1	CTR
MQ211210-86	abV4-C	EXT-CP925-82	LIB-CP925-82-A-1	T1-mc1-tk2-HGm07	T1_mc1_tk2_07	7	sample	low	T1	MC1	tk2	CTR
MQ211210-136	abV4-C	EXT-CP925-130	LIB-CP925-130-A-1	T1-mc1-tk2-HGm03	T1_mc1_tk2_03	3	sample	low	T1	MC1	tk2	CTR
MQ211210-13	abV4-C	EXT-CP925-13	LIB-CP925-13-A-1	T1-mc1-tk2-HGm01	T1_mc1_tk2_01	1	sample	high	T1	MC1	tk2	CTR
MQ211210-30	abV4-C	EXT-CP925-28	LIB-CP925-28-A-1	T1-mc1-tk2-HGm05	T1_mc1_tk2_05	5	sample	low	T1	MC1	tk2	CTR
MQ211210-85	abV4-C	EXT-CP925-81	LIB-CP925-81-A-1	T0-ctr-tk2-HGm01	T0_ctr_tk2_01	1	sample	low	T0	CTR	tk2	CTR
MQ211210-48	abV4-C	EXT-CP925-44	LIB-CP925-44-A-1	T0-ctr-tk2-HGm02	T0_ctr_tk2_02	2	sample	low	T0	CTR	tk2	CTR
MQ211210-18	abV4-C	EXT-CP925-18	LIB-CP925-18-A-1	T2-ctr-tk3-HGm05	T2_ctr_tk3_05	5	sample	low	T2	CTR	tk3	CTR
MQ211210-185	abV4-C	EXT-CP925-170	LIB-CP925-170-A-1	T2-ctr-tk3-HGm03	T2_ctr_tk3_03	3	sample	high	T2	CTR	tk3	CTR
MQ211210-107	abV4-C	EXT-CP925-103	LIB-CP925-103-A-1	T0-ctr-tk2-HGm10	T0_ctr_tk2_10	10	sample	high	T0	CTR	tk2	CTR
MQ211210-76	abV4-C	EXT-CP925-72	LIB-CP925-72-A-1	T2-ctr-tk3-HGm01	T2_ctr_tk3_01	1	sample	high	T2	CTR	tk3	CTR
