,Time,Diet,New_Diet,Tank_number,Sample_Type,Sample_Number,ID,BW,Length,Sex,Gut_struc,Gut_light,Anus_bleed,Gut_bleed,Fat_Score,Heart_Sco,softliver,patchy_liver,Liver_Sco,HSI,CSI,ID_New,common
T1_CTR_tk1_01,T1,CTR,CTR,tk1,Hind_Gut,1,T1_CTR_tk1_1,85.8,19,0,0,1,0,0,3,0,0,0,3,1.282051282,NA,T1_CTR_tk1_01,T1_CTR_tk1_01
T1_CTR_tk1_03,T1,CTR,CTR,tk1,Hind_Gut,3,T1_CTR_tk1_3,83.51,18.4,1,1,1,NA,0,2,0,0,0,3,1.508801341,0.126930906,T1_CTR_tk1_03,T1_CTR_tk1_03
T2_CTR_tk1_01,T2,CTR,CTR,tk1,Hind_Gut,1,T2_CTR_tk1_1,152,23.7,1,0,1,NA,0,3.5,0,0,0,4,NA,0.130263158,T2_CTR_tk1_01,T2_CTR_tk1_01
T3_CTR_tk2_01,T3,CTR,CTR,tk2,Hind_Gut,1,T3_CTR_tk2_1,300,28.2,0,0,1,1,0,2,0,0,0,2,1.433333333,0.148,T3_CTR_tk2_01,T3_CTR_tk2_01
T1_CTR_tk1_05,T1,CTR,CTR,tk1,Hind_Gut,5,T1_CTR_tk1_5,82.42,18,1,0,1,NA,0,2,0,0,0,2,1.455957292,NA,T1_CTR_tk1_05,T1_CTR_tk1_05
T1_CTR_tk1_07,T1,CTR,CTR,tk1,Hind_Gut,7,T1_CTR_tk1_7,95.39,19.3,0,0,1,NA,0,2,0,0,0,2,1.467659084,0.12055771,T1_CTR_tk1_07,T1_CTR_tk1_07
T3_CTR_tk3_01,T3,CTR,CTR,tk3,Hind_Gut,1,T3_CTR_tk3_1,190,24.9,0,0,1,NA,0,1,0,0,0,1,1.684210526,0.164736842,T3_CTR_tk3_01,T3_CTR_tk3_01
T3_CTR_tk1_01,T3,CTR,CTR,tk1,Hind_Gut,1,T3_CTR_tk1_1,156,23.6,0,0,1,0,0,1.5,0.5,0,0,2,1.666666667,0.202564103,T3_CTR_tk1_01,T3_CTR_tk1_01
T3_CTR_tk1_03,T3,CTR,CTR,tk1,Hind_Gut,3,T3_CTR_tk1_3,236,27,1,0,1,0,0,NA,0.5,1,0,1.5,1.652542373,0.144491525,T3_CTR_tk1_03,T3_CTR_tk1_03
T3_CTR_tk3_03,T3,CTR,CTR,tk3,Hind_Gut,3,T3_CTR_tk3_3,281,27.8,1,0,1,NA,0,1,0,1,1,2,1.423487544,0.088967972,T3_CTR_tk3_03,T3_CTR_tk3_03
T2_CTR_tk2_03,T2,CTR,CTR,tk2,Hind_Gut,3,T2_CTR_tk2_3,119.4,21,1,0,1,NA,0,2.5,0,1,0,3,0.862646566,0.154941374,T2_CTR_tk2_03,T2_CTR_tk2_03
T3_CTR_tk2_03,T3,CTR,CTR,tk2,Hind_Gut,3,T3_CTR_tk2_3,238,26.4,1,0,1,1,0,2,0,1,0,1,1.722689076,0.147478992,T3_CTR_tk2_03,T3_CTR_tk2_03
T3_CTR_tk2_05,T3,CTR,CTR,tk2,Hind_Gut,5,T3_CTR_tk2_5,128,22.6,1,0,1,0,0,2,0.5,1,0,1,1.484375,0.1875,T3_CTR_tk2_05,T3_CTR_tk2_05
