"protein","source","animal","timepoint","intensity","tax_domain","tax_kingdom","tax_phylum","tax_class","tax_order","tax_family","tax_genus","tax_species","KEGG_ko","KEGG_Pathway","EC","PFAMs"
"dbB|NP_001003900.1","D","01","T6",1319525.5,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","02","T6",344331.6,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","06","T6",352405.34,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","08","T6",495089.12,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","15","T6",527106.3,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","16","T6",1100961.6,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","21","T6",2721379.8,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","25","T6",37147.55,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","28","T6",2555246.5,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","29","T6",60033.5,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","35","T6",872782.4,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","43","T6",332980.3,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","48","T6",279084.38,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","51","T6",105223.08,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","55","T6",1381281,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","59","T6",1210833.5,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","60","T6",3980648.5,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","61","T6",181051.52,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","63","T6",1527988.9,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","67","T6",115209.86,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","75","T6",71775.08,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003900.1","D","76","T6",759321.75,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07375","ko04145,ko04540,ko05130,map04145,map04540,map05130",NA,"Tubulin,Tubulin_C"
"dbB|NP_001003906.1","D","15","T6",22626.547,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K00615","ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230","2.2.1.1","Transket_pyr,Transketolase_C,Transketolase_N"
"dbB|NP_001003906.1","D","59","T6",13672.746,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K00615","ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230","2.2.1.1","Transket_pyr,Transketolase_C,Transketolase_N"
"dbB|NP_001004024.1","D","01","T6",89854.79,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","02","T6",139726.22,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","06","T6",39330.688,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","08","T6",82539.19,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","15","T6",235120.27,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","16","T6",89831.21,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","25","T6",50848.75,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","28","T6",12366.257,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","29","T6",62675.316,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","35","T6",48700.418,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","48","T6",49731.01,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","51","T6",14188.512,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","55","T6",41035.098,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","59","T6",43558.543,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","60","T6",35055.312,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","61","T6",106473.375,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","63","T6",28506.945,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","67","T6",98324.25,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","75","T6",76561.42,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001004024.1","D","76","T6",50763.895,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K10056","ko05200,ko05202,ko05221,ko05226,ko05412,map05200,map05202,map05221,map05226,map05412",NA,"Arm"
"dbB|NP_001007816.1","D","28","T6",14410.064,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K00799","ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418","2.5.1.18","MAPEG"
"dbB|NP_001007816.1","D","60","T6",8879.49,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K00799","ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418","2.5.1.18","MAPEG"
"dbB|NP_001008663.1","D","01","T6",778991.3,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","02","T6",289476.56,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","06","T6",226587.47,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","08","T6",420890.56,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","15","T6",982066.8,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","16","T6",290503.75,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","21","T6",29929.088,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","25","T6",339970.4,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","29","T6",290673.16,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","35","T6",156042.1,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","43","T6",65434.81,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","48","T6",150194.28,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","51","T6",214691.25,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","55","T6",268879.72,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","59","T6",338592.12,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","60","T6",27446.305,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","61","T6",448665.53,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","63","T6",175096.94,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","67","T6",160103.77,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","75","T6",415482.2,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001008663.1","D","76","T6",316873.56,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K07605",NA,NA,"Filament,Keratin_2_head"
"dbB|NP_001010991.1","D","01","T6",112332.94,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","02","T6",167474.56,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","06","T6",49175.99,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","08","T6",19789.895,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","15","T6",282368.38,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","16","T6",73779.66,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","21","T6",152769.84,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","25","T6",164510.12,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","28","T6",101111.3,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","29","T6",66935.414,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","35","T6",95503.766,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","43","T6",90053.44,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","48","T6",47813.97,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","59","T6",123208.03,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","60","T6",111877.11,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","61","T6",100725.266,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","63","T6",28359.25,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","67","T6",51273.867,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","75","T6",82235.836,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001010991.1","D","76","T6",13434.036,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K03917,ko:K05619","ko04610,map04610","2.3.2.13","Transglut_C,Transglut_N,Transglut_core"
"dbB|NP_001012287.1","D","01","T6",34849.047,"Eukaryota","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","taurus","ko:K01044,ko:K01049,ko:K01050,ko:K01063,ko:K03927,ko:K07378,ko:K14999,ko:K15743","ko00564,ko00981,ko00983,ko01100,ko04514,ko04725,map00564,map00981,map00983,map01100,map04514,map04725","3.1.1.1,3.1.1.56,3.1.1.59,3.1.1.7,3.1.1.8,3.1.1.84","COesterase"
