"protein","source","animal","timepoint","intensity","tax_domain","tax_kingdom","tax_phylum","tax_class","tax_order","tax_family","tax_genus","tax_species","KEGG_ko","KEGG_Pathway","EC","PFAMs"
"dbE|jgi|Anasp1|158660|CE158659_230202","D","29","T6",11225.041,"Eukaryota","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces","robustus","ko:K02898","ko03010,map03010",NA,"KOW,Ribosomal_L26"
"dbE|jgi|Anasp1|185073|gw1.804.3.1","D","01","T6",92581.44,"Eukaryota","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces","robustus","ko:K02155","ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05323",NA,"ATP-synt_C"
"dbE|jgi|Anasp1|185073|gw1.804.3.1","D","02","T6",29499.637,"Eukaryota","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces","robustus","ko:K02155","ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05323",NA,"ATP-synt_C"
"dbE|jgi|Anasp1|185073|gw1.804.3.1","D","29","T6",26893.115,"Eukaryota","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces","robustus","ko:K02155","ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05323",NA,"ATP-synt_C"
"dbE|jgi|Anasp1|185073|gw1.804.3.1","D","35","T6",32195.854,"Eukaryota","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces","robustus","ko:K02155","ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05323",NA,"ATP-synt_C"
"dbE|jgi|Anasp1|185073|gw1.804.3.1","D","55","T6",27422.926,"Eukaryota","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces","robustus","ko:K02155","ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05323",NA,"ATP-synt_C"
"dbE|jgi|Anasp1|185073|gw1.804.3.1","D","59","T6",16445.377,"Eukaryota","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces","robustus","ko:K02155","ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05323",NA,"ATP-synt_C"
"dbE|jgi|Anasp1|185073|gw1.804.3.1","D","61","T6",26696.16,"Eukaryota","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces","robustus","ko:K02155","ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05323",NA,"ATP-synt_C"
"dbE|jgi|Anasp1|185073|gw1.804.3.1","D","63","T6",44777.246,"Eukaryota","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces","robustus","ko:K02155","ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05323",NA,"ATP-synt_C"
"dbE|jgi|Anasp1|185073|gw1.804.3.1","D","75","T6",24025.225,"Eukaryota","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales","Neocallimastigaceae","Anaeromyces","robustus","ko:K02155","ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05323",NA,"ATP-synt_C"
