"","01T6","02T6","06T6","08T6","15T6","16T6","21T6","25T6","28T6","29T6","35T6","43T6","48T6","51T6","55T6","59T6","60T6","61T6","63T6","67T6","75T6","76T6"
"dbE|jgi|Anasp1|185073|gw1.804.3.1",16.4620210467315,14.8155343550858,14.6163272949881,15.3413734145112,14.9324002802755,15.4655932477876,15.9696072413936,14.8369660978026,16.1049147215148,14.8732628052316,15.200667380145,15.9440265772915,14.687403862791,15.695922132518,14.9371132374355,14.1202382334614,15.5898836916131,14.4256753875674,15.6338406359453,14.9113771737303,14.714381511555,14.8003825931198
"dbE|jgi|Anasp1|198412|e_gw1.14.107.1",15.8042511390059,16.1735494896166,17.767415435856,17.4552012566625,15.451798991991,17.2191966510975,15.8560072783007,16.2465870600408,15.7109812280741,17.1857546884505,15.8889293396019,15.3942302011125,15.6122503277729,16.2976677488445,17.7229069009383,17.0582422735113,15.479073791929,15.3577390169404,16.9014445572044,16.2913168648046,16.8485237530591,16.0415867748029
"dbE|jgi|Anasp1|215766|estExt_Genewise1.C_150012",15.5853657774061,15.9844353026748,16.2033632819541,16.3640766318867,15.2310760511686,15.4519075169254,14.9843890530967,16.3356992732581,15.1521728955378,16.4687294690091,16.9383777474828,15.1701325293398,17.1643904420328,15.7182517427168,16.8257561428678,16.2713670386464,15.5727147392801,15.4056593628068,16.3843622579672,16.5814180398102,16.5576185604903,15.5731400086081
"dbE|jgi|Anasp1|219493|estExt_Genewise1.C_990004",16.1357616505856,16.8053655320499,16.2617635453748,15.4000525920036,17.573568469553,15.8210067952092,15.1092970536757,16.4861943811119,15.1694105704736,16.1117511282628,16.8744158241898,15.3202693067656,15.696439003219,16.0273898210881,16.499641499546,16.7513590696474,15.3587127384982,15.8448975142143,16.2925309782277,15.8003736171122,15.7813114273869,15.5934486678354
"dbE|jgi|Anasp1|223357|estExt_Genewise1.C_2450001",14.6391980482244,14.9500286209171,15.1773595866848,14.8306145661394,15.2864942339896,14.583333314451,14.5699598802646,15.131221780235,14.4160133500821,15.435559640783,14.4297605768805,14.6307716014288,14.6848120633463,14.8785877990194,14.5193133983101,15.3686523648282,14.4538846390902,15.7201422466857,15.3703947825427,14.7070282670232,15.1169581771994,14.625026790033
"dbE|jgi|Anasp1|227040|estExt_Genewise1.C_6430011",14.7826664097717,14.6587658872364,14.56576827646,14.5854276456963,15.0110645525208,14.4104554513777,14.7799418007713,14.4620349902355,14.8371704032589,14.8695796347051,14.2771067103802,14.8759652379645,14.6651405305984,14.6531522278594,14.3850880446477,14.5938349243426,14.872429328732,14.677488466564,14.1777462970686,14.4532627815205,14.5685464579951,14.6064288940217
"dbE|jgi|Anasp1|228193|estExt_Genewise1Plus.C_110013",16.3074249351416,15.1800565484049,15.3525347977665,15.6524009781259,15.3653523706708,15.4899258215457,16.748972935327,14.9929419906641,16.026517203308,14.7432686026455,15.3409296825329,17.0965530422644,15.3575546200721,15.1364754603696,15.9639610188766,15.119356747541,15.9209228556523,14.1899434852257,15.2233892691673,15.2344945579754,15.9631768308698,15.9991647735341
"dbE|jgi|Anasp1|232357|estExt_Genewise1Plus.C_1080001",14.3941960407338,16.053437067389,15.3653246877963,14.7979803708137,14.3049485114535,14.6295715722872,15.4126175774187,15.9537015167042,15.5900273268415,15.5061324693598,14.7999641497845,15.1839521986483,16.6261012229156,14.7650820930139,14.3793994408019,14.520120546384,15.913120525371,13.1752461969443,15.9408702653483,16.1391140587859,14.8008695283422,14.6574704979166
"dbE|jgi|Anasp1|246416|fgenesh1_pg.177_#_2",14.7214312688762,15.0567899536928,15.0793958681845,14.7988356927672,14.8976526655579,13.7717618802219,14.8045668986914,15.114663422531,14.823230200857,15.4540093119043,14.9439082940257,14.776308152515,14.9017765507883,14.5236999008043,14.5698060206416,14.9795450111646,14.8862322939209,14.5678568979056,14.8613316069828,14.7124068757323,15.1597144328412,14.8709527472572
"dbE|jgi|Anasp1|248107|fgenesh1_pg.258_#_7",15.2440221688077,15.0683101277102,15.6494307700182,15.3808247833707,16.528232344661,15.3110121986724,14.7231903537344,14.9805602305526,14.5786179694004,15.7147578688858,16.4303174500313,14.7538697891268,15.0102046167584,15.3872011879652,15.7333513612621,16.0453369540268,14.6245417046924,16.7943716675891,15.6878691036358,14.7010996698333,15.0206921246427,14.9622985813874
"dbE|jgi|Anasp1|262804|estExt_fgenesh1_pm.C_1010002",15.3330573185778,13.7977132066324,13.7827624874585,14.2360128473364,15.9129456337165,14.7125936052737,15.064660033188,13.8911344145676,14.9944491268325,14.1965885506165,14.0149048738784,15.2074228586841,14.1255491132946,14.51500752802,14.0560067961474,14.1680599031747,14.9267290033419,13.5956482299037,14.3404788849996,13.9054358243766,13.9358626683653,14.2922598536493
"dbE|jgi|Anasp1|270497|estExt_fgenesh1_pg.C_2380009",15.7086370193543,14.2750815285581,15.2904243447851,15.5234443422756,16.7206835560992,15.4326252262182,14.8726190919835,14.429670098959,14.7355606273651,16.0924161417546,13.6740869171537,14.9002284660613,14.7199925409351,15.7274352252631,15.5983040837855,16.1443774710375,14.76476545707,16.7549674027984,15.4291432136768,14.6772549951359,14.9661730529475,15.0155572264249
